Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
26-10-2020,181.4983521,188.234186,180.4833722,187.0346516,45470123
27-10-2020,179.6067963,182.2826831,177.3922819,182.0058653,37794381
28-10-2020,175.7313843,179.9297479,174.4395866,179.9297479,46458319
29-10-2020,174.1166382,175.9620716,171.5330286,174.7164125,44822673
30-10-2020,174.624115,177.1615856,171.7636879,174.7163923,41519686
02-11-2020,180.8985901,182.0058472,175.3622906,177.3461256,52600119
03-11-2020,188.9262238,189.895079,182.3288057,182.6978867,69890201
04-11-2020,191.0023499,192.8477832,182.7440385,187.7728415,117577856
05-11-2020,201.7519684,203.9203579,198.1533795,199.3067752,138023646
06-11-2020,202.2594757,204.7046831,200.2756407,202.0749352,73147085
09-11-2020,202.5363007,205.4428524,200.2756477,205.3044506,60359458
10-11-2020,213.793457,216.838425,205.7658245,205.8581018,135294550
11-11-2020,216.1002197,220.8522186,210.1487006,214.7622835,107094861
12-11-2020,209.27211,215.315906,208.2109775,215.1774901,58859905
13-11-2020,211.7173309,212.8245881,203.0899388,207.6112447,70676525
14-11-2020,211.9018707,214.9006998,210.1487147,214.0702605,7753219
17-11-2020,221.6365356,222.9283474,213.1475453,213.9318601,80501583
18-11-2020,232.5245972,233.4473138,219.5142867,220.8983617,104514060
19-11-2020,221.2212982,232.3400357,220.5292608,228.8337099,82284278
20-11-2020,223.9894562,226.4346496,215.8695472,222.8360604,84411129
23-11-2020,220.2524414,227.126677,219.6988199,224.6814837,57538324
24-11-2020,225.0044403,226.0655587,220.9906176,221.9133342,47636611
25-11-2020,224.2201538,230.5868933,222.9283561,226.4808069,74767232
26-11-2020,226.4807739,227.21895,221.5903734,225.1428377,64248318
27-11-2020,225.3735199,227.218953,223.3435463,226.480777,54355703
01-12-2020,228.8798523,229.7102916,225.3735264,226.0655639,37003272
02-12-2020,227.8648682,231.4634715,225.2351342,229.1566799,56723083
03-12-2020,236.4922485,238.9835946,228.8337122,230.0332465,79266442
04-12-2020,243.135849,243.9201638,233.9548207,237.1381905,79252024
07-12-2020,248.7644043,250.4714357,242.674469,243.4126311,76053084
08-12-2020,250.8866425,252.5475493,244.7505826,250.0100786,65617502
09-12-2020,249.4564514,253.6548009,248.3953329,251.0712055,48495641
10-12-2020,248.718277,250.0562275,245.0274102,248.2107941,38676657
11-12-2020,251.3941803,254.9004926,249.1796377,249.1796377,50255223
14-12-2020,253.0089264,254.808207,251.3018949,252.8243718,31946501
15-12-2020,249.7332458,252.8704767,247.4264543,252.8704767,34890948
16-12-2020,248.5798492,252.5013948,247.7494099,251.7170801,24844177
17-12-2020,247.011261,251.1173332,246.0885443,249.133498,25904699
18-12-2020,250.4714203,250.9327786,244.5198872,247.0112332,29816205
21-12-2020,235.0159149,248.2107651,231.648005,247.7032822,55160758
22-12-2020,237.5534058,238.7068015,229.0644016,235.1081983,51189571
23-12-2020,242.6744843,243.5049236,235.8463865,237.0920597,29056404
24-12-2020,246.2269135,248.0723465,244.1969258,244.5198822,28585509
28-12-2020,253.9316101,254.6697721,247.2880396,247.980077,36870242
29-12-2020,256.4229431,258.2683764,253.4702668,254.9465909,45032526
30-12-2020,255.5002441,257.1611511,251.4402964,256.5152381,30971894
31-12-2020,253.700943,255.8231799,251.5325533,253.7470676,29467966
01-01-2021,257.8070068,258.3606424,253.1934239,253.6547822,24531791
04-01-2021,259.3294983,261.9592463,256.2845447,260.0676885,31450608
05-01-2021,259.9754028,260.6213157,255.592499,256.5613401,27393072
